1,Date,Time,Event Name,IP Address,Action,Host,URL,Response Code,Time to Load (ms),Time to First Byte (ms),Start Time (ms),Bytes Out,Bytes In,Object Size,Cookie Size (out),Cookie Count(out),Expires,Cache Control,Content Type,Content Encoding,Transaction Type,Socket ID,Document ID,End Time (ms),Descriptor,Lab ID,Dialer ID,Connection Type,Cached,Event URL,Pagetest Build,Measurement Type,Experimental,Event GUID,Sequence Number,Cache Score,Static CDN Score,GZIP Score,Cookie Score,Keep-Alive Score,DOCTYPE Score,Minify Score,Combine Score,Compression Score,ETag Score,Flagged,Secure,DNS Time,Connect Time,SSL Time,Gzip Total Bytes,Gzip Savings,Minify Total Bytes,Minify Savings,Image Total Bytes,Image Savings,Cache Time (sec),Real Start Time (ms),Full Time to Load (ms),Optimization Checked,CDN Provider,DNS Start,DNS End,Connect Start,Connect End,SSL Negotiation Start,SSL Negotiation End,Initiator,Initiator Line,Initiator Column,Server Count,Server RTT,Run,Cached
12,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/deposer.png,200,240,120,894,385,6216,5854,,,Sat, 29 Aug 2015 18:44:30 GMT,max-age=172800,image/png,,3,48,,1134,,,,,,,,,,,11,-1,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,0,0,777,894,0,0,http://www.leboncoin.fr/,190,,8,117,1,0,
13,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/transparent.png,200,522,130,894,389,492,133,,,Sun, 30 Aug 2015 07:04:19 GMT,max-age=172800,image/png,,3,46,,1416,,,,,,,,,,,12,-1,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,0,0,776,894,0,0,http://www.leboncoin.fr/,193,,8,117,1,0,
14,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/download_on_app_store.png,200,255,127,899,399,4639,4277,,,Mon, 31 Aug 2015 16:34:59 GMT,max-age=172800,image/png,,3,50,,1154,,,,,,,,,,,13,50,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,30380,,,1,,0,0,777,899,0,0,http://www.leboncoin.fr/,263,,8,117,1,0,
15,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/download_on_google_play.png,200,259,132,900,401,5983,5621,,,Mon, 31 Aug 2015 08:33:40 GMT,max-age=172800,image/png,,3,47,,1159,,,,,,,,,,,14,0,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,1501,,,1,,0,0,776,899,0,0,http://www.leboncoin.fr/,266,,8,117,1,0,
16,08/31/2015,08:08:39,Step 1,93.184.216.180,GET,tags.tiqcdn.com,/utag/schibsted/leboncoin/prod/utag.5.js?utv=ut4.36.201508250929,200,48,45,900,379,3026,2668,,,Wed, 30 Sep 2015 08:08:39 GMT,max-age=2592000,text/javascript,gzip,3,53,,948,,,,,,,,,,,15,100,100,100,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,3026,0,0,0,0,0,2592000,,,1,Edgecast,0,0,863,900,0,0,http://tags.tiqcdn.com/utag/schibsted/leboncoin/prod/utag.js,12,177,1,35,1,0,
17,08/31/2015,08:08:39,Step 1,91.216.195.3,GET,aimfar.solution.weborama.fr,/fcgi-bin/dispatch.fcgi?d.A=prd&d.format=jsonp&d.key=h4f6j7se3h0g&d.callback=webo_parseProfile,302,124,124,1093,421,699,0,,,Tue, 03 Jul 2001 06:00:00 GMT,no-store, no-cache, must-revalidate, max-age=0, post-check=0, pre-check=0,text/plain,,3,66,,1217,,,,,,,,,,,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,911,971,971,1092,0,0,http://tags.tiqcdn.com/utag/schibsted/leboncoin/prod/utag.3.js?utv=ut4.36.201508250929,7,70,2,120,1,0,
18,08/31/2015,08:08:39,Step 1,91.216.195.3,GET,aimfar.solution.weborama.fr,/fcgi-bin/dispatch.fcgi?g.bo=OK&g.rn=269934&d.A=prd&d.format=jsonp&d.key=h4f6j7se3h0g&d.callback=webo_parseProfile,200,139,139,1344,475,838,115,,,Tue, 03 Jul 2001 06:00:00 GMT,no-store, no-cache, must-revalidate, max-age=0, post-check=0, pre-check=0,application/json,,3,73,,1483,,,,,,,,,,,17,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,0,0,1221,1344,0,0,http://www.leboncoin.fr/,98,,2,120,1,0,
19,08/31/2015,08:08:39,Step 1,193.164.196.120,GET,56c646cc9f58f35661191763632f428a.leboncoin.fr,/4/homepage/toutes_categories/265698825@Top1?resX=1014&resY=650&compte=0&XE&social_class=0&age=0&gender=0&XE,200,136,136,1666,928,547,116,,,Fri, 30 Oct 1998 14:19:41 GMT,no-cache,no-store,private,application/x-javascript,,3,82,,1802,,,,,,,,,,,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,1515,1542,1542,1666,0,0,http://tags.tiqcdn.com/utag/schibsted/leboncoin/prod/utag.5.js?utv=ut4.36.201508250929,19,137,4,123,1,0,
20,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/map_1.png,200,479,133,1813,847,717,357,,,Sun, 30 Aug 2015 04:04:04 GMT,max-age=172800,image/png,,3,38,,2292,,,,,,,,,,,19,-1,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,-1,,,1,,0,0,0,0,0,0,http://www.leboncoin.fr/,459,,8,117,1,0,
21,08/31/2015,08:08:39,Step 1,193.164.197.60,GET,static.leboncoin.fr,/img/map_2.png,200,132,132,1814,847,918,558,,,Mon, 31 Aug 2015 08:24:49 GMT,max-age=172800,image/png,,3,46,,1946,,,,,,,,,,,20,0,0,-1,-1,100,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,969,,,1,,0,0,0,0,0,0,http://www.leboncoin.fr/,459,,8,117,1,0,
